state,foreign_pop,rent_low_income,abbr
Alabama,157356,10.5,AL
Arizona,919559,6,AZ
Arkansas,139997,9.3,AR
California,10512399,4.4,CA
Colorado,538244,6,CO
Connecticut,491919,7.2,CT
Delaware,80300,6.9,DE
District of Columbia,91949,8.9,DC
Florida,3973515,6.5,FL
Georgia,994651,7.7,GA
Hawaii,250272,4.2,HI
Idaho,97353,7.4,ID
Illinois,1784403,7.8,IL
Indiana,319580,8,IN
Iowa,153321,7.1,IA
Kansas,204420,6.7,KS
Kentucky,162040,11.4,KY
Louisiana,194277,10.5,LA
Maryland,890439,5.7,MD
Massachusetts,1060281,7,MA
Michigan,636569,9.4,MI
Minnesota,428057,7.6,MN
Mississippi,65150,12.1,MS
Missouri,225122,8.9,MO
Nebraska,125400,6.5,NE
Nevada,551722,5,NV
New Hampshire,79532,5.4,NH
New Jersey,1960734,6.2,NJ
New Mexico,205653,9.6,NM
New York,4465469,7.8,NY
North Carolina,763584,8.4,NC
Ohio,482114,9.3,OH
Oklahoma,226665,7.7,OK
Oregon,393652,7.2,OR
Pennsylvania,821700,8.6,PA
Puerto Rico,93155,16.6,PR
Rhode Island,141233,10.2,RI
South Carolina,228553,7.9,SC
Tennessee,321258,9.8,TN
Texas,4522428,6.7,TX
Utah,249917,5.4,UT
Virginia,1005620,5.6,VA
Washington,944746,6.1,WA
Wisconsin,280157,6.7,WI